category,subject,body,label
University,Notice: Password Reset,We require confirmation following password reset. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Parcel Delivery,Reminder: Parcel Release,"As part of a routine security review regarding parcel release, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Parcel Delivery,Attention: Package Held,"As part of a routine security review regarding package held, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
University,Important: Course Registration,We require confirmation following course registration. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
PayPal,Final Reminder: Transaction Review,We require confirmation following transaction review. Delayed action may result in temporary account restrictions. This message relates to your paypal services. Please follow the provided verification steps.,1
Invoice/Payment,Immediate: Supplier Update,Your account has been flagged due to supplier update. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Critical: Reschedule Delivery,We detected reschedule delivery. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Banking,Reminder: Unusual Login,We detected unusual login. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Amazon,Urgent: Security Review,Your account has been flagged due to security review. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Microsoft 365,Urgent: Account Validation,We detected account validation. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
HMRC/Tax,Reminder: Tax Refund,We require confirmation following tax refund. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
University,Final Reminder: Tuition Notice,We require confirmation following tuition notice. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Amazon,Attention: Account Verification,Our monitoring systems identified account verification. Confirm your identity to protect your account. This message relates to your amazon services. Please follow the provided verification steps.,1
Technical Support,Notice: Service Interruption,Our monitoring systems identified service interruption. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
Invoice/Payment,Notice: Purchase Order,Our monitoring systems identified purchase order. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Password Reset,Attention: Password Policy,We require confirmation following password policy. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Tax Account,Your account has been flagged due to tax account. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Action Required: Account Validation,Your account has been flagged due to account validation. Review your information promptly. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Technical Support,Immediate: Service Interruption,We detected service interruption. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
Microsoft 365,Security Alert: Mailbox Suspension,Our monitoring systems identified mailbox suspension. Confirm your identity to protect your account. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Invoice/Payment,Important: Billing Issue,"As part of a routine security review regarding billing issue, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
Amazon,Notice: Prime Renewal,Your account has been flagged due to prime renewal. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Amazon,Attention: Purchase Alert,We detected purchase alert. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
Technical Support,Immediate: Support Verification,Our monitoring systems identified support verification. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
Parcel Delivery,Important: Courier Notice,We require confirmation following courier notice. Delayed action may result in temporary account restrictions. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
HMRC/Tax,Immediate: Tax Refund,Your account has been flagged due to tax refund. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Important: Helpdesk Ticket,Our monitoring systems identified helpdesk ticket. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
Amazon,Action Required: Purchase Alert,"As part of a routine security review regarding purchase alert, please complete the requested verification. This message relates to your amazon services. Please follow the provided verification steps.",1
Amazon,Reminder: Security Review,Our monitoring systems identified security review. Confirm your identity to protect your account. This message relates to your amazon services. Please follow the provided verification steps.,1
Amazon,Reminder: Seller Message,Your account has been flagged due to seller message. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
PayPal,Attention: Payment On Hold,We detected payment on hold. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
Invoice/Payment,Notice: Overdue Invoice,Our monitoring systems identified overdue invoice. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Amazon,Notice: Order Issue,We detected order issue. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
PayPal,Urgent: Invoice Received,We detected invoice received. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
PayPal,Security Alert: Account Limitation,Your account has been flagged due to account limitation. Review your information promptly. This message relates to your paypal services. Please follow the provided verification steps.,1
PayPal,Critical: Transaction Review,We require confirmation following transaction review. Delayed action may result in temporary account restrictions. This message relates to your paypal services. Please follow the provided verification steps.,1
Technical Support,Notice: Service Interruption,We require confirmation following service interruption. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
Banking,Immediate: New Device Login,We detected new device login. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Password Reset,Notice: Password Policy,Our monitoring systems identified password policy. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Banking,Attention: Unusual Login,"As part of a routine security review regarding unusual login, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Invoice/Payment,Attention: Payment Failure,"As part of a routine security review regarding payment failure, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
Parcel Delivery,Notice: Courier Notice,Your account has been flagged due to courier notice. Review your information promptly. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Technical Support,Important: Service Interruption,We require confirmation following service interruption. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
PayPal,Urgent: Billing Verification,Your account has been flagged due to billing verification. Review your information promptly. This message relates to your paypal services. Please follow the provided verification steps.,1
Banking,Critical: Identity Verification,We require confirmation following identity verification. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
University,Important: Email Quota,"As part of a routine security review regarding email quota, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Parcel Delivery,Security Alert: Signature Required,Your account has been flagged due to signature required. Review your information promptly. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
University,Critical: Password Reset,"As part of a routine security review regarding password reset, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Amazon,Security Alert: Seller Message,We detected seller message. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
Amazon,Security Alert: Prime Renewal,We detected prime renewal. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
Technical Support,Security Alert: Support Verification,We detected support verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
Invoice/Payment,Immediate: Remittance Advice,"As part of a routine security review regarding remittance advice, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
University,Attention: Library Account,Your account has been flagged due to library account. Review your information promptly. This message relates to your university services. Please follow the provided verification steps.,1
Amazon,Critical: Payment Declined,We detected payment declined. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
Invoice/Payment,Attention: Payment Confirmation,We detected payment confirmation. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Technical Support,Security Alert: Helpdesk Ticket,We detected helpdesk ticket. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
PayPal,Important: Buyer Protection,"As part of a routine security review regarding buyer protection, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
Microsoft 365,Notice: Unusual Sign-In,We require confirmation following unusual sign-in. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Banking,Reminder: Card Restricted,Your account has been flagged due to card restricted. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Mfa Verification,"As part of a routine security review regarding MFA verification, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Password Reset,Notice: Login Problem,Your account has been flagged due to login problem. Review your information promptly. This message relates to your password reset services. Please follow the provided verification steps.,1
Invoice/Payment,Action Required: Remittance Advice,"As part of a routine security review regarding remittance advice, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
Password Reset,Urgent: Security Reset,We require confirmation following security reset. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
Invoice/Payment,Final Reminder: Remittance Advice,We detected remittance advice. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
PayPal,Notice: Billing Verification,Our monitoring systems identified billing verification. Confirm your identity to protect your account. This message relates to your paypal services. Please follow the provided verification steps.,1
HMRC/Tax,Final Reminder: Identity Check,We require confirmation following identity check. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Amazon,Security Alert: Seller Message,"As part of a routine security review regarding seller message, please complete the requested verification. This message relates to your amazon services. Please follow the provided verification steps.",1
Microsoft 365,Urgent: Mailbox Suspension,We require confirmation following mailbox suspension. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Banking,Security Alert: Security Update,We require confirmation following security update. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
University,Immediate: Mfa Update,We require confirmation following MFA update. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Invoice/Payment,Important: Payment Confirmation,Your account has been flagged due to payment confirmation. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Amazon,Notice: Security Review,We require confirmation following security review. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
HMRC/Tax,Immediate: Tax Refund,We require confirmation following tax refund. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Password Reset,Urgent: Login Problem,We detected login problem. Please verify your account within 24 hours to avoid service interruption. This message relates to your password reset services. Please follow the provided verification steps.,1
Amazon,Action Required: Order Issue,"As part of a routine security review regarding order issue, please complete the requested verification. This message relates to your amazon services. Please follow the provided verification steps.",1
Technical Support,Critical: Security Scan,Our monitoring systems identified security scan. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
University,Notice: Tuition Notice,"As part of a routine security review regarding tuition notice, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Technical Support,Security Alert: Device Health,"As part of a routine security review regarding device health, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Parcel Delivery,Notice: Address Confirmation,We require confirmation following address confirmation. Delayed action may result in temporary account restrictions. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
HMRC/Tax,Reminder: Document Request,We require confirmation following document request. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
PayPal,Urgent: Login Alert,"As part of a routine security review regarding login alert, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
University,Notice: Exam Notice,"As part of a routine security review regarding exam notice, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Microsoft 365,Action Required: New Device,Our monitoring systems identified new device. Confirm your identity to protect your account. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Technical Support,Important: Service Interruption,"As part of a routine security review regarding service interruption, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Microsoft 365,Attention: Password Expiry,We detected password expiry. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Banking,Attention: Security Verification,"As part of a routine security review regarding security verification, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Amazon,Reminder: Delivery Delay,Our monitoring systems identified delivery delay. Confirm your identity to protect your account. This message relates to your amazon services. Please follow the provided verification steps.,1
Banking,Action Required: Payment Confirmation,Your account has been flagged due to payment confirmation. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
Parcel Delivery,Final Reminder: Package Held,"As part of a routine security review regarding package held, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Parcel Delivery,Notice: Courier Notice,Our monitoring systems identified courier notice. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
University,Urgent: Exam Notice,"As part of a routine security review regarding exam notice, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Amazon,Notice: Delivery Delay,Your account has been flagged due to delivery delay. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Microsoft 365,Reminder: Security Alert,"As part of a routine security review regarding security alert, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Parcel Delivery,Attention: Parcel Release,"As part of a routine security review regarding parcel release, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Microsoft 365,Urgent: Admin Notice,"As part of a routine security review regarding admin notice, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Password Reset,Reminder: Credential Update,Our monitoring systems identified credential update. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
University,Urgent: Exam Notice,"As part of a routine security review regarding exam notice, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Password Reset,Immediate: Account Recovery,Our monitoring systems identified account recovery. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Compliance Review,We detected compliance review. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Banking,Immediate: Unusual Login,We detected unusual login. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Microsoft 365,Final Reminder: Mfa Verification,We require confirmation following MFA verification. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Amazon,Security Alert: Order Issue,Your account has been flagged due to order issue. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Technical Support,Critical: System Update,Our monitoring systems identified system update. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
Technical Support,Urgent: Security Scan,Our monitoring systems identified security scan. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
HMRC/Tax,Attention: Document Request,"As part of a routine security review regarding document request, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Password Reset,Urgent: Account Recovery,"As part of a routine security review regarding account recovery, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
Password Reset,Security Alert: Reset Required,"As part of a routine security review regarding reset required, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
PayPal,Action Required: Billing Verification,We detected billing verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
Technical Support,Urgent: Security Scan,We require confirmation following security scan. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
HMRC/Tax,Attention: Secure Message,Our monitoring systems identified secure message. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
PayPal,Notice: Account Limitation,Our monitoring systems identified account limitation. Confirm your identity to protect your account. This message relates to your paypal services. Please follow the provided verification steps.,1
Banking,Important: Security Verification,We require confirmation following security verification. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
PayPal,Reminder: Login Alert,We require confirmation following login alert. Delayed action may result in temporary account restrictions. This message relates to your paypal services. Please follow the provided verification steps.,1
Amazon,Notice: Security Review,We detected security review. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
Amazon,Urgent: Gift Card,"As part of a routine security review regarding gift card, please complete the requested verification. This message relates to your amazon services. Please follow the provided verification steps.",1
Banking,Immediate: Card Restricted,Our monitoring systems identified card restricted. Confirm your identity to protect your account. This message relates to your banking services. Please follow the provided verification steps.,1
Invoice/Payment,Urgent: Finance Review,We detected finance review. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Microsoft 365,Attention: Storage Limit,"As part of a routine security review regarding storage limit, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Technical Support,Reminder: Service Interruption,"As part of a routine security review regarding service interruption, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Invoice/Payment,Action Required: Wire Transfer,Our monitoring systems identified wire transfer. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Security Alert: Delivery Failed,"As part of a routine security review regarding delivery failed, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Amazon,Immediate: Purchase Alert,"As part of a routine security review regarding purchase alert, please complete the requested verification. This message relates to your amazon services. Please follow the provided verification steps.",1
Invoice/Payment,Notice: Supplier Update,"As part of a routine security review regarding supplier update, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
Microsoft 365,Notice: Admin Notice,"As part of a routine security review regarding admin notice, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Parcel Delivery,Final Reminder: Tracking Update,We detected tracking update. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Tax Refund,We require confirmation following tax refund. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
HMRC/Tax,Action Required: Tax Calculation,We detected tax calculation. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Notice: Security Alert,We require confirmation following security alert. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
HMRC/Tax,Action Required: Identity Check,We detected identity check. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Password Reset,Important: Login Problem,We detected login problem. Please verify your account within 24 hours to avoid service interruption. This message relates to your password reset services. Please follow the provided verification steps.,1
Microsoft 365,Reminder: Mailbox Suspension,"As part of a routine security review regarding mailbox suspension, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Password Reset,Immediate: Login Problem,"As part of a routine security review regarding login problem, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
Banking,Security Alert: Unusual Login,Our monitoring systems identified unusual login. Confirm your identity to protect your account. This message relates to your banking services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Payment Reminder,Your account has been flagged due to payment reminder. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Parcel Delivery,Action Required: Parcel Release,We detected parcel release. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Technical Support,Immediate: System Update,We require confirmation following system update. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
Banking,Attention: New Device Login,We detected new device login. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
PayPal,Notice: Login Alert,We require confirmation following login alert. Delayed action may result in temporary account restrictions. This message relates to your paypal services. Please follow the provided verification steps.,1
PayPal,Critical: Account Limitation,"As part of a routine security review regarding account limitation, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
Technical Support,Critical: System Update,"As part of a routine security review regarding system update, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Parcel Delivery,Action Required: Signature Required,We detected signature required. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Banking,Immediate: Security Verification,We detected security verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Password Reset,Immediate: Account Recovery,"As part of a routine security review regarding account recovery, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
HMRC/Tax,Urgent: Payment Reminder,Our monitoring systems identified payment reminder. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Security Alert: System Update,We detected system update. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
Technical Support,Final Reminder: Remote Assistance,Our monitoring systems identified remote assistance. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
Banking,Final Reminder: Unusual Login,Your account has been flagged due to unusual login. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
Banking,Reminder: New Device Login,Our monitoring systems identified new device login. Confirm your identity to protect your account. This message relates to your banking services. Please follow the provided verification steps.,1
Invoice/Payment,Urgent: Supplier Update,Our monitoring systems identified supplier update. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Microsoft 365,Final Reminder: Admin Notice,"As part of a routine security review regarding admin notice, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
University,Security Alert: Mfa Update,"As part of a routine security review regarding MFA update, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
HMRC/Tax,Final Reminder: Compliance Review,"As part of a routine security review regarding compliance review, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
HMRC/Tax,Urgent: Secure Message,"As part of a routine security review regarding secure message, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Microsoft 365,Action Required: Security Alert,Our monitoring systems identified security alert. Confirm your identity to protect your account. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Password Reset,Security Alert: Credential Update,Your account has been flagged due to credential update. Review your information promptly. This message relates to your password reset services. Please follow the provided verification steps.,1
Microsoft 365,Notice: Storage Limit,Our monitoring systems identified storage limit. Confirm your identity to protect your account. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Banking,Final Reminder: New Device Login,We require confirmation following new device login. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
HMRC/Tax,Critical: Identity Check,We detected identity check. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Notice: Support Verification,"As part of a routine security review regarding support verification, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Microsoft 365,Immediate: Mailbox Suspension,We detected mailbox suspension. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Compliance Review,"As part of a routine security review regarding compliance review, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Banking,Notice: Identity Verification,We detected identity verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Technical Support,Important: Device Health,We require confirmation following device health. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
Technical Support,Reminder: Support Verification,We require confirmation following support verification. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
Invoice/Payment,Important: Billing Issue,Our monitoring systems identified billing issue. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Critical: Signature Required,Our monitoring systems identified signature required. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
HMRC/Tax,Action Required: Refund Processing,Our monitoring systems identified refund processing. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
HMRC/Tax,Immediate: Payment Reminder,Our monitoring systems identified payment reminder. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Notice: Security Alert,Our monitoring systems identified security alert. Confirm your identity to protect your account. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
PayPal,Security Alert: Account Limitation,Your account has been flagged due to account limitation. Review your information promptly. This message relates to your paypal services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Rebate Notice,"As part of a routine security review regarding rebate notice, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Banking,Immediate: Security Update,We detected security update. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
PayPal,Attention: Invoice Received,Our monitoring systems identified invoice received. Confirm your identity to protect your account. This message relates to your paypal services. Please follow the provided verification steps.,1
Invoice/Payment,Urgent: Finance Review,Your account has been flagged due to finance review. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Important: Signature Required,"As part of a routine security review regarding signature required, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Microsoft 365,Important: Storage Limit,"As part of a routine security review regarding storage limit, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
HMRC/Tax,Notice: Secure Message,We require confirmation following secure message. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Invoice/Payment,Attention: Finance Review,We require confirmation following finance review. Delayed action may result in temporary account restrictions. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Important: Parcel Release,"As part of a routine security review regarding parcel release, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Microsoft 365,Final Reminder: Unusual Sign-In,Your account has been flagged due to unusual sign-in. Review your information promptly. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Password Reset,Notice: Verification Code,Our monitoring systems identified verification code. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
HMRC/Tax,Security Alert: Identity Check,Our monitoring systems identified identity check. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
HMRC/Tax,Final Reminder: Rebate Notice,Your account has been flagged due to rebate notice. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Banking,Important: Security Update,"As part of a routine security review regarding security update, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Amazon,Critical: Payment Declined,We detected payment declined. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
